번호,문제,보기1,보기2,보기3,보기4,보기5,정답,해설
1,비행장 기준점(Aerodrome reference point)의 이상적인 위치로 가장 적절한 곳은?,여객터미널 중앙,비행장의 기하학적 중심에 가까운 곳,가장 긴 활주로의 시단,관제탑 상단,가장 넓은 계류장의 중앙,2,"비행장 기준점은 비행장의 지정된 지리적 위치로, 기하학적 중심에 가깝게 설정되어야 합니다."
2,비행장 표고(Aerodrome elevation)의 정의로 옳은 것은?,관제탑 최상단의 표고,비행장 기준점의 표고,착륙지역 중 가장 높은 지점의 표고,주 활주로 시단의 표고,가장 긴 활주로 종단의 표고,3,비행장 표고는 착륙지역(활주로 등) 중 가장 높은 지점의 표고를 의미합니다.
3,공항급 코드문자(Code letter)를 결정하는 주된 항공기 제원은?,최대이륙중량,비행기 주익폭(날개길이) 및 주륜외곽폭,항공기 동체 길이,엔진의 최대 추력,최대 탑승 승객 수,2,공항급 코드문자(A~F)는 취항하는 최대 비행기의 주익폭과 주륜 외곽의 폭을 기준으로 결정됩니다.
4,코드번호 4를 부여받는 비행기 기준필드길이(Reference field length) 기준은?,800m 미만,"800m 이상 1,200m 미만","1,200m 이상 1,800m 미만","1,800m 이상","2,400m 이상",4,"기준필드길이가 1,800m 이상인 항공기를 위한 활주로는 코드번호 4에 해당합니다."
5,"비행장의 주풍향을 고려하여 활주로 방향을 설정할 때, 측풍성분이 허용 한도를 초과하지 않는 빈도는 최소 얼마 이상이어야 하는가?",90%,95%,98%,99%,100%,2,활주로의 방향 및 수는 허용 측풍성분을 초과하지 않는 비율이 95% 이상이 되도록 설정해야 합니다.
6,포장 활주로 표면의 마찰특성을 측정하고 평가하기 기본 상태는?,건조한 상태(Dry),젖은 상태(Wet),결빙 상태(Icy),눈 덮인 상태(Snow),진창눈(Slush) 상태,2,포장면 마찰력 평가는 표면이 젖은 상태(Wet)를 기준으로 측정 장비를 이용해 수행합니다.
7,코드문자 F 항공기가 이용하는 육상비행장 활주로의 최소 폭은?,30m,45m,60m,75m,90m,3,코드문자 F 항공기(A380 등)를 위한 활주로 자체의 최소 폭은 60m입니다.
8,육상비행장에서 코드문자 D 이상 항공기가 이용하는 활주로에 엔진 이물질 흡입을 방지하기 위해 설치하는 것은?,개방구역(Clearway),착륙대(Strip),활주로 갓길(Shoulder),정주대(Stopway),제방빙 패드,3,제트 엔진 이물질 흡입 방지 및 표면 보호를 위해 코드 D 이상에는 활주로 갓길을 설치해야 합니다.
9,코드문자 E 항공기 활주로와 갓길을 합한 최소 전체 폭은?,45m,60m,75m,90m,105m,2,코드문자 E의 경우 활주로 폭 45m에 갓길을 포함하여 총 너비 60m 이상을 확보해야 합니다.
10,착륙대(Runway Strip)의 가장 주된 설치 목적은?,차량 통행로 확보,활주로 이탈 시 항공기 손상 최소화 및 비행 보호,소음 피해 방지,조류 서식지 제공,지상 조업 장비의 대기 공간 제공,2,착륙대는 활주로 주변에 설정되어 이탈한 항공기의 손상을 줄이고 이착륙 비행 중인 항공기를 보호합니다.
11,"코드번호 3, 4의 정밀접근활주로(계기활주로) 착륙대 폭은 활주로 중심선으로부터 각각 최소 얼마 이상이어야 하는가?",75m,140m,150m,300m,200m,3,"코드번호 3, 4 정밀접근활주로의 착륙대는 중심선에서 양측으로 150m(전체 폭 300m) 이상 확보되어야 합니다."
12,활주로종단안전구역(RESA)의 형태는 무엇인가?,원형,삼각형,직사각형,사다리꼴,타원형,3,RESA는 착륙대 종단에 접하여 연장되는 직사각형 형태의 안전구역입니다.
13,"코드번호 3, 4 활주로의 종단안전구역(RESA) 최소 길이는 착륙대 끝으로부터 얼마 이상이어야 하는가?",90m,150m,240m,300m,400m,1,"기준상 코드번호 3, 4의 RESA 최소 길이는 착륙대 끝에서 90m 이상입니다. (권고는 240m)"
14,RESA의 폭은 최소 얼마 이상이어야 하는가?,활주로 폭의 1.5배,활주로 폭의 2배 (또는 착륙대 폭),활주로 갓길 포함 폭,착륙대 폭과 동일,활주로 폭의 3배,2,"RESA의 폭은 관련 활주로 폭의 최소 2배 이상이어야 하며, 더 넓은 것이 권장됩니다."
15,정주대(Stopway)의 폭은 어느 기준과 동일해야 하는가?,개방구역 폭,활주로 폭,유도로 폭,착륙대 폭,계류장 진입로 폭,2,정주대의 폭은 접속된 활주로의 폭과 동일해야 합니다.
16,개방구역(Clearway) 내 지면이나 물체는 수평면을 기준으로 상향 기울기가 얼마를 초과하여 돌출되어서는 안 되는가?,1.0%,1.25%,1.5%,2.0%,2.5%,2,개방구역의 표면은 상향 경사도 1.25%의 평면 위로 돌출되어서는 안 됩니다.
17,개방구역의 폭은 활주로 중심선 연장선을 중심으로 양측으로 최소 얼마 이상이어야 하는가?,45m,75m,150m,300m,500m,2,개방구역의 총 폭은 150m(중심선 양측으로 75m) 이상이어야 합니다.
18,시단(Threshold)이 활주로 종단 방향으로 이동 설치된 경우 이를 무엇이라 부르는가?,개방구역,정주대,이설시단(Displaced threshold),갓길,가상시단,3,안전상의 이유로 활주로 정상 시단을 뒤로 이동시킨 것을 이설시단이라고 합니다.
19,활주로 표면에 물이 고이는 것을 방지하기 위해 중심에서 양단으로 설정하는 것은?,종단 경사도,횡단 경사도(Camber),이설 시단,착륙대 경사,역방향 경사,2,포장 활주로의 원활한 배수를 위해 중앙을 높게 하는 횡단 경사도(Camber)를 둡니다.
20,코드번호 4 활주로의 횡단 경사도는 보통 얼마로 설계하는가?,0.5%,1.0% ~ 1.5%,2.0% ~ 2.5%,3.0%,5.0%,2,활주로 배수를 위해 1.0% ~ 1.5%의 횡단 경사도가 권장됩니다.
21,유도로(Taxiway) 중심선 곡선부를 설계할 때 가장 우선적으로 고려해야 하는 것은?,항공기 최대이륙중량,항공기 조향각과 휠베이스,활주로와의 거리,차량 이동 경로,관제탑의 시야 확보,2,유도로 곡선부는 조향각 및 휠베이스를 고려하여 메인기어가 갓길 바깥으로 나가지 않도록 설계합니다.
22,코드문자 E 비행기가 이용하는 유도로의 최소 폭은?,15m,18m,23m,25m,30m,3,코드문자 E 비행기를 위한 유도로 폭은 최소 23m여야 합니다.
23,유도로와 활주로를 연결하며 활주로를 신속히 벗어나게 설계된 유도로는?,평행 유도로,직각 유도로,고속탈출유도로(Rapid exit taxiway),우회 유도로,대기 유도로,3,착륙 후 활주로 점유시간을 줄이기 위해 예각으로 설치된 유도로를 고속탈출유도로라 합니다.
24,고속탈출유도로의 활주로 교차각으로 가장 권장되는 각도는?,15도,30도,45도,90도,60도,2,"고속탈출유도로의 설계 교차각은 25도~45도 사이여야 하며, 가급적 30도가 이상적입니다."
25,"젖은 활주로 조건에서 코드번호 3, 4 비행기가 고속탈출유도로를 이탈할 때 예상되는 초기 속도는?",65 km/h,93 km/h (50 kts),120 km/h,150 km/h,160 km/h,2,"코드번호 3, 4의 고속탈출유도로는 93 km/h로 이탈할 수 있도록 곡선반경이 설계됩니다."
26,계류장(Apron) 표면의 최대 경사도는 자연스러운 항공기 이동 방지를 위해 원칙적으로 얼마를 초과하지 않아야 하는가?,0.5%,1.0%,1.5%,2.0%,3.0%,2,"주기장 표면 경사는 배수를 확보하되, 1.0%를 초과하지 않게 평탄해야 합니다."
27,코드문자 E 항공기가 계류장에서 이동하거나 주기할 때 주변 물체와의 최소 이격거리는?,3.0m,4.5m,7.5m,10.0m,15.0m,3,코드문자 E 항공기의 주기장 안전 이격거리는 최소 7.5m입니다.
28,불법행위 의심 등 비정상 상황이 발생한 항공기를 격리하기 위해 설치하는 구역은?,유도 대기구역,정비 계류장,고립지역(Isolated parking position),제방빙구역,VIP 전용 계류장,3,폭발물 탑재 의심 등 비상 시 격리 조치를 위해 고립지역을 지정해야 합니다.
29,고립지역은 다른 계류장이나 건물 등으로부터 최소 얼마 이상 이격되어야 하는가?,50m,100m,200m,300m,500m,2,"고립지역은 다른 주기장, 건축물 또는 공공지역으로부터 100m 이상 이격되어야 합니다."
30,동절기 항공기 표면의 결빙을 제거하고 방지하기 위해 출발 지점 근처에 설치하는 구역은?,정주대,제방빙시설(De-icing/Anti-icing facility),세척 계류장,보안 구역,엔진 런업(Run-up) 구역,2,지속 시간(Holdover time) 유지를 위해 이륙 지점 근처에 제방빙구역을 설치하는 것이 유리합니다.
31,항공기의 안전한 이착륙을 위해 비행장 주변 공역의 장애물 높이를 제한하는 표면을 무엇이라 하는가?,장애물 제한표면(OLS),비행안전구역,보안통제구역,접근관제구역,비행정보구역(FIR),1,장애물 제한표면(Obstacle Limitation Surfaces)은 주변 공역의 장애물을 제한하여 안전을 확보합니다.
32,착륙하는 항공기가 통과하는 구역으로 활주로 시단 전방에 경사지게 설정된 표면은?,원추표면,수평표면,전이표면,진입표면(Approach surface),내부수평표면,4,진입표면은 항공기가 활주로에 접근할 때 안전을 확보하는 경사면입니다.
33,"비행장 표고 위 45m 높이에 설정된 수평 표면으로, 선회접근 시 안전을 확보하는 표면은?",수평표면(Inner horizontal surface),진입표면,전이표면,원추표면,외부수평표면,1,내부수평표면은 비행장 표고 기준 45m 높이로 설정된 평탄한 표면입니다.
34,코드번호 4 육상비행장 수평표면의 기준 반경은?,"2,000m","3,000m","4,000m","4,500m","6,000m",3,"코드번호 4 비행장의 수평표면 반경은 기준점으로부터 반경 4,000m입니다."
35,진입표면과 착륙대 가장자리에서 시작하여 측면 바깥쪽 위로 경사진 표면은?,이륙상승표면,전이표면(Transitional surface),원추표면,기본표면,착륙복행표면,2,전이표면은 활주로 측면의 장애물 높이를 제한하는 경사면입니다.
36,수평표면의 바깥쪽 경계선에서 시작하여 바깥쪽 상향으로 일정 경사(보통 5%)로 연장되는 표면은?,수평표면,전이표면,진입표면,원추표면(Conical surface),이륙상승표면,4,원추표면은 수평표면 위로 더 높은 장애물을 제한하기 위해 밖으로 퍼져나가는 경사면입니다.
37,이륙상승표면(Take-off climb surface)이 시작되는 지점은?,활주로 시단,수평표면 끝단,활주로 종단을 지난 착륙대 끝 또는 개방구역 끝,관제탑 상단,유도로 끝단,3,이륙상승표면은 이륙 비행경로를 보호하기 위해 활주로 끝(개방구역 끝)에서 시작됩니다.
38,"정밀진입활주로 카테고리 I, II, III 에 추가로 설정되어 착륙 복행(Go-around) 시 안전을 확보하는 표면은?",내부수평표면,착륙복행표면(Balked landing surface),수직표면,원추표면,전이표면,2,착륙 실패 시 재상승하는 항공기를 보호하기 위해 착륙복행표면이 설정됩니다.
39,새로운 건축물을 지을 때 장애물 제한표면을 초과할 수 없으나 예외적으로 기존 영구 물체 뒤에 있어 추가 위험이 없다고 인정될 때 적용되는 원칙은?,경제성 원칙,비례 원칙,차폐 원칙(Shielding principle),접근성 원칙,소급효 금지 원칙,3,기존 대형 장애물에 가려져 추가적인 장애물이 되지 않는 경우를 차폐 원칙이라고 합니다.
40,차폐 원칙을 적용받는 새로운 물체는 기존 장애물을 기준으로 어느 방향의 제한을 넘어서는 안 되는가?,기존 장애물 꼭대기에서 활주로를 향해 하향하는 특정 경사면,기존 장애물보다 더 높은 높이 전체,아무런 제한이 없음,기존 장애물의 반경 100m 이내,장애물 반경 1km 이내 모든 구역,1,차폐의 범위는 기존 장애물 정상에서 활주로 방향으로 하향 경사면(10%) 이내로 제한됩니다.
41,비행장에 설치되는 표지(Marking) 중 활주로 표지의 기본 색상은?,황색,백색,녹색,적색,청색,2,"활주로의 모든 주요 표지(중심선, 시단, 번호 등)는 백색으로 도색됩니다."
42,유도로(Taxiway) 및 계류장의 주기장 선 표지의 기본 색상은?,백색,황색,청색,적색,흑색,2,유도로 중심선 및 대기위치 등 지상 활주 경로 표지는 황색입니다.
43,풍향표시기(Wind direction indicator)의 밴드 색상으로 가장 대비가 좋아 표준적으로 사용되는 조합은?,적색과 백색 (또는 오렌지색과 백색),황색과 흑색,녹색과 백색,청색과 백색,흑색과 백색,1,주변 배경과 대비를 위해 적색/백색 또는 오렌지/백색 밴드가 교대로 사용됩니다.
44,"활주로 폭이 45m인 경우, 활주로 시단표지(Threshold marking)를 구성하는 세로줄 무늬의 총 개수는?",6개,8개,12개,16개,14개,3,활주로 폭 45m의 경우 시단표지는 12개의 줄무늬로 구성됩니다.
45,이설시단 앞의 포장구역이 정상 착륙에는 사용할 수 없고 정주대나 지상주행용으로만 사용될 때 그리는 표지는?,다이아몬드,원형,갈매기형(Chevron) 및 화살표,십자형,지그재그형,3,정상 착륙이 불가한 구역은 황색의 화살표 또는 갈매기(Chevron) 표지를 사용합니다.
46,착륙하는 항공기에게 시각적 접지 목표 지점을 제공하는 직사각형 모양의 표지는?,접지구역표지,시단표지,활주로 중심선표지,목표점표지(Aiming point marking),횡단 실선,4,시단에서 일정 거리(보통 300m 또는 400m)에 두 개의 큰 직사각형으로 목표점표지를 그립니다.
47,활주로 중심선표지의 형태는 어떻게 되어 있는가?,연속된 실선,점선(파선),이중 실선,점선과 실선의 조합,파선과 실선의 교대 배열,2,활주로 중심선표지는 일정한 간격을 둔 백색 점선으로 표시됩니다.
48,유도로 대기위치표지(Taxi-holding position marking) 패턴 A의 형태는?,연속된 황색 실선 2개,연속된 백색 점선 2개,연속된 황색 실선 2개와 활주로 방향 황색 점선 2개,연속된 황색 실선 1개와 점선 1개,연속된 황색 실선 3개,3,"패턴 A는 4줄로 구성되며, 진입 금지 방향은 실선 2줄, 통과 허용 방향은 점선 2줄입니다."
49,일시적 또는 영구적으로 사용이 폐쇄된 활주로 부분에 그리는 폐쇄표지(Closed marking)의 형태는?,대형 원형 표지(O),대형 십자형 표지(X),적색 삼각형 표지,다이아몬드 표지,백색 사각형 표지,2,폐쇄된 구역의 끝과 중간에는 대형 'X'자 모양의 표지를 백색(활주로) 또는 황색(유도로)으로 그립니다.
50,활주로 번호(Designator) 표지는 활주로 중심선의 방위각을 몇 도 단위로 반올림하여 표시하는가?,1도,5도,10도,15도,20도,3,"자북 기준 진입 방위각을 10도 단위로 반올림하여 두 자리 숫자(예: 09, 27)로 표시합니다."
51,육상비행장에 설치된 비행장 등대(Aerodrome beacon)가 위치 식별을 위해 발산하는 불빛의 색상은?,백색 및 황색 교대,백색 및 녹색 교대 (또는 녹색 단일),적색 단일,청색 및 백색 교대,청색 및 적색 교대,2,육상비행장의 등대는 백색과 녹색 불빛이 교대로 번쩍입니다. (수상비행장은 백색/황색)
52,정밀진입등시스템(CAT-I)의 총 길이는 활주로 시단으로부터 중심선 연장선상 밖으로 통상 얼마인가?,300m,420m,600m,900m,"1,200m",4,CAT-I 진입등시스템은 시단 전방 900m 위치까지 백색등을 설치합니다.
53,진입각지시등(PAPI)의 광학장치는 정상적으로 활주로의 어느 쪽에 설치하는가?,활주로 우측,활주로 좌측,활주로 시단 중앙,관제탑 위,활주로 종단 끝,2,조종석 위치를 고려하여 PAPI는 활주로 좌측에 4개의 광학기기를 횡배열로 설치합니다.
