번호,문제,보기1,보기2,보기3,보기4,보기5,정답,해설
54,조종사가 PAPI를 볼 때 정상 진입각(통상 3도) 상에 위치한 경우 보이는 불빛은?,모두 백색,모두 적색,"좌측(활주로 바깥쪽) 2개 백색, 우측(활주로 안쪽) 2개 적색",적색 점멸,"바깥쪽 3개 백색, 안쪽 1개 적색",3,"정상 진입각에서 PAPI는 바깥쪽 2개는 백색, 활주로에 가까운 안쪽 2개는 적색으로 보입니다."
55,활주로 시단등(Threshold lights)이 진입하는 항공기를 향해 비추는 색상은?,백색,황색,녹색,적색,청색,3,활주로 시작점(시단)을 알리는 시단등은 진입 방향으로 녹색 고정광을 냅니다.
56,활주로 종단등(Runway end lights)이 주행 중인 항공기를 향해 비추는 색상은?,백색,황색,녹색,적색,백색 점멸,4,활주로 끝(종단)을 알리는 종단등은 활주로 방향으로 적색 고정광을 냅니다.
57,활주로 가장자리등(Runway edge lights)의 기본 색상은?,적색,녹색,황색,백색,적색 점멸,4,"가장자리등은 백색입니다. (단, 시단 방향 마지막 600m 구간은 황색으로 표시될 수 있음)"
58,유도로 가장자리등(Taxiway edge lights)의 색상은?,녹색,청색,황색,적색,백색,2,유도로 가장자리를 표시하는 등화는 청색 고정광입니다.
59,유도로 중심선등(Taxiway centerline lights)의 기본 색상은?,녹색,청색,백색,적색,황색,1,유도로 중심선등은 조종사에게 지상 활주 경로를 명확히 제시하는 녹색 고정광입니다.
60,활주로 중심선등(Runway centerline lights)의 색상 배열로 옳은 것은?,전 구간 백색,"종단 900m~300m 구간은 적색/백색 교대, 마지막 300m는 모두 적색",전 구간 녹색,종단 600m는 모두 적색,전 구간 적색/백색 교대,2,"활주로 중심선등은 기본 백색이나, 종단이 가까워짐을 알리기 위해 900m~300m는 적/백 교대, 300m 이내는 적색입니다."
61,관제탑의 허가 없이 진입해서는 안 되는 위치를 나타내는 명령표지판(Mandatory instruction signs)의 색상은?,황색 배경에 흑색 문자,흑색 배경에 황색 문자,적색 배경에 백색 문자,백색 배경에 적색 문자,녹색 배경에 황색 문자,3,"명령표지판(활주로 지정표지판, 정지표지판 등)은 정지를 유도하므로 적색 바탕에 백색 글씨입니다."
62,항공기가 현재 위치한 유도로나 활주로를 알려주는 위치표지판(Location sign)의 색상은?,황색 배경에 흑색 문자,흑색 배경에 황색 문자 (황색 테두리),적색 배경에 백색 문자,녹색 배경에 백색 문자,청색 배경에 백색 문자,2,위치표지판은 주변과 구별하기 위해 흑색 바탕에 황색 글씨와 황색 테두리를 갖습니다.
63,목적지나 방향을 알려주는 방향표지판(Direction sign)의 색상은?,황색 배경에 흑색 문자,흑색 배경에 황색 문자,백색 배경에 흑색 문자,적색 배경에 백색 문자,녹색 배경에 백색 문자,1,방향표지판은 황색 바탕에 흑색 글씨와 방향을 나타내는 화살표로 구성됩니다.
64,바람의 세기와 방향을 야간에도 볼 수 있도록 풍향표시기에 설치하는 것은?,적색 점멸등,내부 조명(조명장치),반사 스티커,경보기,형광 도료,2,야간 운영 비행장의 풍향표시기는 조종사가 잘 볼 수 있도록 반드시 조명장치를 설치해야 합니다.
65,"비행장 외곽이나 진입구역에 위치한 대형 철탑, 굴뚝 등 장애물에 칠하는 주간 표지 도장 색상은?",백색과 청색,오렌지색(또는 적색)과 백색 교대,흑색과 황색,적색 단일,흑색과 백색 교대,2,장애물은 시인성 확보를 위해 주로 오렌지색(항공오렌지색)과 백색을 교대로 도색합니다.
66,공항 기동지역 내에서 운행하는 일반 차량에 부착해야 하는 장애물등(경광등)의 색상은?,적색 섬광,청색 섬광,황색(호박색) 섬광,녹색 섬광,백색 섬광,3,"응급차량을 제외한 일반 업무용, 견인용 차량 등은 황색(호박색) 섬광등을 부착해야 합니다."
67,"비상 시 활주로에 진입하는 소방차, 구급차 등 비상차량에 부착해야 하는 장애물등의 색상은?",적색 섬광 (또는 적색/백색),황색 섬광,청색 섬광,녹색 섬광,흑색 고정등,1,긴급 통행 우선권이 있는 비상차량은 적색 섬광등을 사용합니다.
68,이동지역(Movement area)의 정의로 가장 정확한 것은?,기동지역과 관제탑,기동지역과 여객터미널,"활주로, 유도로 및 계류장을 포함한 지역",정비구역 전용,여객터미널 내부 공간,3,"이동지역은 항공기 이착륙 및 지상 주행(기동지역)과 계류장(승하차, 주기)을 모두 포함하는 구역입니다."
69,기동지역(Manoeuvring area)에 해당하는 것은?,계류장(주기장),제빙/방빙 구역,활주로와 유도로,여객 터미널 앞 도로,화물터미널 주차장,3,기동지역은 항공기의 이착륙 및 지상 주행을 위한 구역으로 계류장은 제외됩니다.
70,이동지역의 외부 이물질(FOD) 제거 및 포장 상태 확인을 위해 공항운영자가 실시해야 하는 기본 점검 빈도는?,매주 1회,매일 1회 이상,매월 1회,비가 올 때만,주 3회,2,안전한 운항을 위해 기동지역은 매일 1회 이상(권장 수시) 일일점검을 실시해야 합니다.
71,공항 구조소방등급(RFF Category)을 결정하는 핵심 기준은?,항공기 최대이륙중량,취항 항공기의 전장(길이)과 동체 폭,일일 운항 횟수,터미널 수용 인원,활주로의 길이,2,소방등급(1~10)은 취항하는 가장 큰 항공기의 길이(전장)와 동체 최대 폭을 기준으로 산정됩니다.
72,카테고리 9 소방등급의 기준이 되는 항공기 전장 범위는 대략 얼마인가?,39m ~ 49m 미만,49m ~ 61m 미만,61m ~ 76m 미만,76m ~ 90m 미만,90m 이상,3,"카테고리 9는 대형기인 B747, A350 등이 속하는 61m 이상 76m 미만 구간입니다."
73,구조소방대의 목표 응답시간(Response time)은 가시조건이 최적일 때 활주로 끝단까지 몇 분 이내여야 하는가?,1분,2분 이내 (최대 3분 초과 금지),5분,10분,15분,2,"국제 기준 및 규정상 목표 응답시간은 출동 지시 후 2분 이내, 늦어도 3분 이내여야 합니다."
74,응답시간(Response time)의 종료 시점으로 인정되는 순간은?,현장에 도착하여 차가 멈춘 순간,소방관이 차에서 내린 순간,규정된 비율로 폼(Foam) 소화약제 방출을 시작한 순간,불이 완전히 진압된 순간,구조대원이 무전 보고를 한 순간,3,차량 도착 후 실제 진압을 위해 규정된 성능의 소화약제(폼)가 방사되기 시작한 시점입니다.
75,구조소방 카테고리 9 공항에서 최초 응답에 요구되는 구조소방차의 최소 대수는?,1대,2대,3대,5대,10대,3,"소방등급 8, 9, 10 공항은 규정된 소화약제와 분당 방사율을 충족하기 위해 최소 3대 이상의 폼 차량을 확보해야 합니다."
76,항공기 연료 화재 진압에 사용되는 주 소화약제(Principal extinguishing agent)는?,마른 모래,"성능수준 A, B, C의 폼(Foam)",일반 수돗물,이산화탄소,할론 가스,2,유류 화재 진압 및 재발화 방지를 위해 표면을 덮는 수성막포(AFFF) 등 폼 약제를 주 약제로 사용합니다.
77,"엔진 내부 화재, 랜딩기어 브레이크 화재 등 입체적 화재(3차원) 진압을 위해 폼과 함께 비치해야 하는 보조 소화약제(Complementary agent)는?",건조분말(Dry chemical) 또는 할로카본계,해수,모래,압축 공기,일반 폼(Foam),1,초기 신속한 진압과 내부 틈새 화재를 위해 건조분말이나 할론 대체 가스 소화약제가 필요합니다.
78,공항 구조소방서 건물의 위치를 선정할 때 가장 중요하게 고려해야 할 사항은?,직원 식당과의 거리,목표 응답시간 내 출동 가능한 지점 (특히 활주로 중심 또는 사고 다발 지역 접근성),여객터미널 중앙,외곽 경계 울타리 근처,여객터미널 지하,2,신속한 출동을 위해 이동지역 전역(특히 활주로 끝단)으로 응답시간 내 접근이 쉬운 곳에 위치해야 합니다.
79,구조소방 요원이 이수해야 하는 훈련 중 실제 유류 화재를 모사한 실화재(Live fire) 훈련 주기는?,매월 1회,6개월마다 1회,12개월마다 1회 이상,3년마다 1회,매월 2회,3,소방 요원의 실전 감각 유지를 위해 매 12개월마다 실화재 진압 훈련을 이수하도록 규정하고 있습니다.
80,공항 비상접근도로(Emergency access road)의 설계 시 충족해야 할 조건은?,일반 차량의 진입이 쉽도록 표지판 설치,중량 소방차량이 어떠한 날씨에도 통행할 수 있는 표면 및 지지력 확보,경관용 잔디 블록으로 포장,도로 폭 2m 이하,1차선 일방통행으로만 설계,2,무거운 폼 소방차가 우천 시나 진흙 상태에서도 빠지지 않고 고속 이동할 수 있는 지지력이 필수적입니다.
81,공항 비상계획(AEP: Aerodrome Emergency Plan) 수립의 주요 목적은?,면세점 매출 증대 방안,공항 내 식당 위생 관리,비상사태 발생 시 신속하고 체계적인 대응으로 인명 구조 및 공항 기능 회복,직원 복지 향상,정기 항공편 증편,3,"AEP는 항공기 사고, 테러, 재난 등 비상 시 다기관 협력과 절차를 명시하여 피해를 최소화하는 계획입니다."
82,모든 관련 기관이 동원되어 실시하는 공항 종합비상훈련(Full-scale emergency exercise)의 최대 주기는?,6개월,1년,2년,5년,10년,3,종합비상훈련은 실질적인 대응 능력을 점검하기 위해 2년을 초과하지 않는 주기(매 2년)로 실시해야 합니다.
83,종합비상훈련이 실시되지 않는 해에 대체하여 실시해야 하는 훈련은?,개인 체력 훈련,부분 비상훈련 또는 도상훈련(Tabletop exercise),여객 터미널 안내 훈련,아무 훈련도 실시하지 않음,신입사원 OJT,2,종합훈련 사이의 연도에는 취약 부문을 점검하는 부분훈련이나 지휘소 중심의 도상훈련을 실시합니다.
84,항공기 조류충돌(Bird strike)을 예방하기 위한 공항 내 조치 중 가장 근본적인 방법은?,새총으로 개별 포획,"야생동물 서식지 및 먹이원(물웅덩이, 큰 풀, 쓰레기장 등) 관리",조종사가 알아서 회피,조류 먹이통 설치,24시간 대형 사이렌 작동,2,"야생동물 유인을 억제하기 위해 배수 불량 지역 해소, 풀 깎기, 쓰레기 관리 등 환경 관리가 가장 중요합니다."
85,공항 주변 야생동물 위험 관리를 위해 집중적으로 조사하고 통제해야 하는 범위는 통상 공항 기준 반경 얼마인가?,3km,8km,13km,30km,50km,3,야생동물(특히 조류)의 이동 경로와 서식지 평가는 보통 반경 13km(약 8마일) 이내를 기준으로 합니다.
86,공항 운영자가 발생한 조류충돌 데이터를 보고해야 하는 ICAO의 국제 데이터베이스 이름은?,IBIS (ICAO Bird Strike Information System),IATA,EASA,FAA,WHO 데이터베이스,1,야생동물 충돌 발생 시 통계를 위해 ICAO IBIS 양식에 따라 보고해야 합니다.
87,야생동물을 내쫓기 위한 기법(퇴치술) 중 청각적 자극에 해당하는 것은?,매 등 천적 모형 설치,"폭음기, 가스포, 경보기 사용",레이저 포인터 조사,그물망 설치,독극물 살포,2,가스포나 경보기(디스트레스 콜) 등은 소리로 새를 쫓는 청각적 퇴치 기법입니다.
88,겨울철 공항 제설(Snow removal) 계획 수립 시 가장 우선적으로 제설해야 하는 구역(우선순위 1)은?,여객 주차장,"운영 중인 활주로, 그와 연결된 유도로 및 구조소방차 출동로",외곽 경비도로,정비고 뒤편,면세점 주변 도로,2,이착륙과 직결된 활주로 및 비상 시 출동을 위한 소방도로가 제설 1순위 구역입니다.
89,제설/제빙에 사용되는 화학약품이 갖추어야 할 조건이 아닌 것은?,항공기 부품 부식성이 없어야 함,활주로 포장면 손상이 없어야 함,제설 효과가 탁월할 것,강한 산성이나 알칼리성을 띨 것,환경 친화적일 것,4,강한 산/알칼리성은 항공기 부식과 포장 파손을 유발하므로 부식성이 없고 친환경적인 약품을 사용해야 합니다.
90,포장면에 눈이나 얼음이 덮여 마찰력이 떨어질 때 활주로 표면 상태를 조종사에게 알리기 위해 발행하는 항공고시보는?,SNOWTAM,NOTAM,ASHTAM,METAR,TAF,1,"활주로에 눈, 얼음, 진창눈(Slush) 등이 있을 때 그 상태와 마찰력을 알리기 위해 SNOWTAM을 발행합니다."
91,공항안전관리시스템(SMS: Safety Management System)의 4대 핵심 구성요소가 아닌 것은?,안전정책 및 목표,안전위험관리,안전보증,보안검색 강화,안전증진,4,"SMS 4대 요소는 안전정책 및 목표, 안전위험관리, 안전보증, 안전증진입니다. (보안검색은 항공보안 영역)"
92,SMS의 안전위험관리(Risk Management) 단계에서 파악된 위험요소에 대해 평가하는 두 가지 척도는?,수익성과 효율성,심각성(Severity)과 발생 가능성(Probability),비용과 시간,조종사와 관제사 의견,여론과 언론 보도량,2,위험도 평가는 발생 시 결과의 심각성과 그 발생 확률(빈도)을 매트릭스로 결합하여 산출합니다.
93,항공안전 보고 활성화를 위해 보고자의 고의나 중과실이 없는 한 처벌을 면제해 주는 원칙을 무엇이라 하는가?,징벌적 문화 (Punitive Culture),비밀유지 문화,공정 문화 (Just Culture),폐쇄 문화,무관용 원칙 (Zero Tolerance),3,안전 정보의 원활한 수집을 위해 실수를 처벌하지 않는 Just Culture(공정 문화) 정착이 필수적입니다.
94,활주로 포장면 유지보수와 관련하여 타이어 고무 침적으로 인해 가장 저하되기 쉬운 포장의 특성은?,포장 강도(PCN),표면 마찰력(Friction),포장 두께,활주로 폭,활주로 길이,2,비행기 착륙 시 타이어와 포장면의 마찰로 고무가 쌓이면 젖은 상태에서 마찰력이 급격히 저하됩니다.
95,포장면이 허용 최소마찰수준 이하로 측정되었을 때 공항운영자가 취해야 할 조치는?,비행기 이착륙 속도 증가 허가,관제탑 위치 변경,즉각적인 NOTAM 발행 및 고무자국 제거 등 마찰력 복원 작업,기상청에 비 예보 취소 요청,착륙 시 역추력 장치 사용 금지 지시,3,"마찰력이 기준 미달이면 즉각 고시하고 고무 제거, 그루빙(Grooving) 청소 등 유지보수를 실시해야 합니다."
96,FOD (Foreign Object Debris) 예방 관리가 특히 중요한 이유는 무엇인가?,공항의 미관을 위해,차량 타이어 펑크를 방지하기 위해,항공기 엔진(제트엔진) 흡입 시 치명적인 손상과 사고를 유발하기 때문,새들의 먹이가 되기 때문,여객 수하물 분실을 막기 위해,3,"활주로나 계류장의 작은 나사, 돌멩이 등은 엔진에 빨려 들어가 대형 폭발이나 추락 사고의 원인이 될 수 있습니다."
97,공항 이동지역 내에서 차량을 운전하고자 하는 자가 공항운영자로부터 취득해야 하는 것은?,공항 이동지역 차량운전승인(운전면허),대형 자동차 면허증,항공기 정비사 자격,무선통신사 자격만 있으면 됨,1종 보통 운전면허증,1,이동지역 내 운행을 위해서는 공항 고유의 지리 및 관제 절차를 숙지하고 자체 운전면허/승인을 받아야 합니다.
98,"관제탑과 차량 간 무선통신이 단절된 비상 상황에서, 관제탑에서 '적색 섬광(Flashing red)' 빛총 신호를 차량에 보냈을 때의 의미는?",정지하라,계속 주행하라,현재 활주로 또는 유도로에서 즉시 벗어나라,주차 구역으로 돌아가라,즉각 착륙하라,3,빛총 신호 중 적색 섬광은 위험을 알리며 해당 이동지역(활주로 등)에서 즉시 대피/이탈하라는 지시입니다. (적색 고정은 '정지')
99,"기동지역(활주로, 유도로) 내에서 시설물 유지보수 공사를 진행하기 전 반드시 수행해야 하는 절차는?",경찰서 신고,소방서 허가,관제탑과의 사전 협의 및 진입 전 관제 허가 취득,여객 대상 안내 방송,항공사 대표의 서면 동의,3,항공기 충돌 방지를 위해 기동지역 진입 시 반드시 관제탑의 무선 허가(Clearance)를 받아야 합니다.
100,국토교통부장관이 공항운영증명 기준이 지속적으로 충족되는지 확인하기 위해 정기/수시로 실시하는 검사는?,공항보안검색,공항안전검사,운항자격심사,항공기 정비검사,항공교통관제 평가,2,당국은 공항운영증명 소지자(공항운영자)가 제반 안전 기준을 준수하는지 점검하기 위해 공항안전검사를 수행합니다.
